"kod";"adres";"miejscowosc";"wojewodztwo";"powiat"
"01-849";"ul. Przybyszewskiego Stanis≥awa od 2 do 26, od 1 do 49";"Warszawa";"mazowieckie";"Warszawa"
"01-850";"ul. Rydla Lucjana";"Warszawa";"mazowieckie";"Warszawa"
"01-850";"ul. Szepietowska";"Warszawa";"mazowieckie";"Warszawa"
"01-851";"ul. Kleczewska od 2 do 26, od 1 do 25";"Warszawa";"mazowieckie";"Warszawa"
"01-852";"ul. P≥atnicza od 2 do 36, od 1 do 33";"Warszawa";"mazowieckie";"Warszawa"
"01-853";"ul. Galla Anonima";"Warszawa";"mazowieckie";"Warszawa"
"01-853";"ul. JarzÍbskiego Adama od 2 do 8, od 1 do 7";"Warszawa";"mazowieckie";"Warszawa"
"01-853";"ul. Starej Baúni";"Warszawa";"mazowieckie";"Warszawa"
"01-854";"ul. Broniewskiego W≥adys≥awa od 60 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-855";"ul. PerzyÒskiego W≥odzimierza od 1 do 13";"Warszawa";"mazowieckie";"Warszawa"
"01-856";"ul. Magiera Antoniego od 18 do ostatniego, od 15 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-857";"ul. Øeromskiego Stefana od 83 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-858";"ul. Rudnickiego Lucjana";"Warszawa";"mazowieckie";"Warszawa"
"01-859";"ul. Kasprowicza Jana od 2 do 10, od 1 do 19";"Warszawa";"mazowieckie";"Warszawa"
"01-860";"ul. MakuszyÒskiego Kornela";"Warszawa";"mazowieckie";"Warszawa"
"01-861";"ul. Øeromskiego Stefana od 2 do 4";"Warszawa";"mazowieckie";"Warszawa"
"01-862";"ul. PodczaszyÒskiego Boles≥awa od 2 do 10";"Warszawa";"mazowieckie";"Warszawa"
"01-863";"ul. Jasnorzewskiej Marii";"Warszawa";"mazowieckie";"Warszawa"
"01-864";"ul. Kochanowskiego Jana";"Warszawa";"mazowieckie";"Warszawa"
"01-864";"ul. Literacka";"Warszawa";"mazowieckie";"Warszawa"
"01-865";"ul. Broniewskiego W≥adys≥awa od 57 do 77";"Warszawa";"mazowieckie";"Warszawa"
"01-866";"ul. PodczaszyÒskiego Boles≥awa od 7 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-867";"ul. PodczaszyÒskiego Boles≥awa od 12 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-868";"ul. Marymoncka od 1 do 47";"Warszawa";"mazowieckie";"Warszawa"
"01-869";"ul. Marymoncka od 2 do 32";"Warszawa";"mazowieckie";"Warszawa"
"01-870";"ul. Leúmiana Boles≥awa";"Warszawa";"mazowieckie";"Warszawa"
"01-870";"ul. PruszyÒskiego Ksawerego";"Warszawa";"mazowieckie";"Warszawa"
"01-871";"ul. Kasprowicza Jana od 12 do 66";"Warszawa";"mazowieckie";"Warszawa"
"01-872";"ul. PerzyÒskiego W≥odzimierza od 2 do 8";"Warszawa";"mazowieckie";"Warszawa"
"01-873";"ul. Magiera Antoniego od 2 do 16, od 1 do 13";"Warszawa";"mazowieckie";"Warszawa"
"01-874";"ul. Duracza Teodora od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-875";"ul. Niedzielskiego Mieczys≥awa ""Øywiciela""";"Warszawa";"mazowieckie";"Warszawa"
"01-875";"ul. Zgrupowanie Ømija";"Warszawa";"mazowieckie";"Warszawa"
"01-876";"ul. Broniewskiego W≥adys≥awa od 79 do 99";"Warszawa";"mazowieckie";"Warszawa"
"01-876";"ul. Zgrupowanie Øubr";"Warszawa";"mazowieckie";"Warszawa"
"01-877";"ul. Broniewskiego W≥adys≥awa od 101 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-877";"ul. Zgrupowanie Øyrafa";"Warszawa";"mazowieckie";"Warszawa"
"01-880";"Poczta Warszawa 082, ul. Øeromskiego 17 a";"Warszawa";"mazowieckie";"Warszawa"
"01-881";"ul. JarzÍbskiego Adama od 10 do ostatniego, od 9 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-882";"ul. Øeromskiego Stefana od 17 do 81";"Warszawa";"mazowieckie";"Warszawa"
"01-883";"ul. PerzyÒskiego W≥odzimierza od 10 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-884";"ul. Staffa Leopolda od 20 do ostatniego, od 21 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-885";"ul. Fontany Antoniego od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-886";"ul. Na≥kowskiej Zofii";"Warszawa";"mazowieckie";"Warszawa"
"01-887";"ul. Øeromskiego Stefana od 1 do 15";"Warszawa";"mazowieckie";"Warszawa"
"01-888";"Poczta Warszawa 135, ul. PerzyÒskiego 3";"Warszawa";"mazowieckie";"Warszawa"
"01-890";"ul. PerzyÒskiego W≥odzimierza od 15 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-891";"ul. Staffa Leopolda od 2 do 18, od 1 do 19";"Warszawa";"mazowieckie";"Warszawa"
"01-892";"ul. Duracza Teodora od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-893";"ul. Andersena Hansa Christiana od 7 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-900";"Poczta Warszawa 118, ul. Conrada Josepha 15";"Warszawa";"mazowieckie";"Warszawa"
"01-900";"Skrytki Pocztowe Poczta Warszawa 118, ul. Conrada Josepha 15";"Warszawa";"mazowieckie";"Warszawa"
"01-903";"ul. Øbikowianka";"Warszawa";"mazowieckie";"Warszawa"
"01-903";"ul. Dπbrowskiej Marii";"Warszawa";"mazowieckie";"Warszawa"
"01-904";"ul. Aspekt";"Warszawa";"mazowieckie";"Warszawa"
"01-904";"ul. Bajana Jerzego";"Warszawa";"mazowieckie";"Warszawa"
"01-905";"ul. Fortowa";"Warszawa";"mazowieckie";"Warszawa"
"01-905";"ul. Renesansowa";"Warszawa";"mazowieckie";"Warszawa"
"01-906";"Poczta Warszawa 085, ul. Goldoniego 1";"Warszawa";"mazowieckie";"Warszawa"
"01-906";"Skrytki Pocztowe Poczta Warszawa 085, ul. Goldoniego 1";"Warszawa";"mazowieckie";"Warszawa"
"01-908";"ul. WÛlczyÒska od 2 do 64, od 1 do 59";"Warszawa";"mazowieckie";"Warszawa"
"01-909";"ul. Rymowa";"Warszawa";"mazowieckie";"Warszawa"
"01-909";"ul. Sokratesa";"Warszawa";"mazowieckie";"Warszawa"
"01-910";"ul. Rokokowa";"Warszawa";"mazowieckie";"Warszawa"
"01-910";"ul. To≥stoja Lwa";"Warszawa";"mazowieckie";"Warszawa"
"01-911";"ul. Andersena Hansa Christiana od 2 do ostatniego, od 1 do 5";"Warszawa";"mazowieckie";"Warszawa"
"01-912";"ul. Czechowa Antoniego";"Warszawa";"mazowieckie";"Warszawa"
"01-912";"ul. Horacego";"Warszawa";"mazowieckie";"Warszawa"
"01-912";"ul. Wolumen";"Warszawa";"mazowieckie";"Warszawa"
"01-913";"ul. Goldoniego Carla";"Warszawa";"mazowieckie";"Warszawa"
"01-913";"ul. Szekspira Wiliama";"Warszawa";"mazowieckie";"Warszawa"
"01-914";"ul. Dantego";"Warszawa";"mazowieckie";"Warszawa"
"01-915";"ul. Wergiliusza";"Warszawa";"mazowieckie";"Warszawa"
"01-916";"ul. Wajdeloty";"Warszawa";"mazowieckie";"Warszawa"
"01-917";"ul. Balzaka Honoriusza";"Warszawa";"mazowieckie";"Warszawa"
"01-917";"ul. Petofiego Sandora";"Warszawa";"mazowieckie";"Warszawa"
"01-918";"ul. Nocznickiego Tomasza od 10 do ostatniego, od 27 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-919";"ul. WÛlczyÒska od 82 do ostatniego, od 123 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-920";"ul. Lelum";"Warszawa";"mazowieckie";"Warszawa"
"01-920";"ul. Polelum";"Warszawa";"mazowieckie";"Warszawa"
"01-920";"ul. Tytu≥owa";"Warszawa";"mazowieckie";"Warszawa"
"01-921";"ul. Popiela";"Warszawa";"mazowieckie";"Warszawa"
"01-921";"ul. Swaroøyca";"Warszawa";"mazowieckie";"Warszawa"
"01-922";"ul. Conrada Josepha";"Warszawa";"mazowieckie";"Warszawa"
"01-922";"ul. Gotycka";"Warszawa";"mazowieckie";"Warszawa"
"01-923";"ul. Bogus≥awskiego Wojciecha";"Warszawa";"mazowieckie";"Warszawa"
"01-923";"ul. Esej";"Warszawa";"mazowieckie";"Warszawa"
"01-924";"ul. Rodziny Po≥anieckich";"Warszawa";"mazowieckie";"Warszawa"
"01-925";"ul. Maszewska";"Warszawa";"mazowieckie";"Warszawa"
"01-926";"ul. Kwitnπca";"Warszawa";"mazowieckie";"Warszawa"
"01-926";"ul. Nerudy Pabla";"Warszawa";"mazowieckie";"Warszawa"
"01-927";"ul. ØÛ≥wia";"Warszawa";"mazowieckie";"Warszawa"
"01-927";"ul. G≥owackiego Bartosza";"Warszawa";"mazowieckie";"Warszawa"
"01-927";"ul. Melioracyjna";"Warszawa";"mazowieckie";"Warszawa"
"01-928";"ul. Osikowa";"Warszawa";"mazowieckie";"Warszawa"
"01-928";"ul. S≥onecznikowa";"Warszawa";"mazowieckie";"Warszawa"
"01-928";"ul. Sieciechowska";"Warszawa";"mazowieckie";"Warszawa"
"01-929";"ul. Brπzownicza";"Warszawa";"mazowieckie";"Warszawa"
"01-929";"ul. Kluczowa";"Warszawa";"mazowieckie";"Warszawa"
"01-929";"ul. Mistrzowska";"Warszawa";"mazowieckie";"Warszawa"
"01-930";"ul. Przy Agorze od 18 do ostatniego, od 21 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-931";"ul. WÛlczyÒska od 66 do 80, od 61 do 121";"Warszawa";"mazowieckie";"Warszawa"
"01-932";"ul. Estrady";"Warszawa";"mazowieckie";"Warszawa"
"01-934";"ul. Andromedy";"Warszawa";"mazowieckie";"Warszawa"
"01-934";"ul. Arkuszowa";"Warszawa";"mazowieckie";"Warszawa"
"01-934";"ul. Chabrowa";"Warszawa";"mazowieckie";"Warszawa"
"01-934";"ul. Jowisza";"Warszawa";"mazowieckie";"Warszawa"
"01-934";"ul. Kalinowej £πki";"Warszawa";"mazowieckie";"Warszawa"
"01-934";"ul. Kampinoska";"Warszawa";"mazowieckie";"Warszawa"
"01-934";"ul. Kasjopei";"Warszawa";"mazowieckie";"Warszawa"
"01-934";"ul. Klenczona Krzysztofa";"Warszawa";"mazowieckie";"Warszawa"
"01-934";"ul. KsiÍøycowa";"Warszawa";"mazowieckie";"Warszawa"
"01-934";"ul. Olszynowa";"Warszawa";"mazowieckie";"Warszawa"
"01-934";"ul. Opalin";"Warszawa";"mazowieckie";"Warszawa"
"01-934";"ul. Perseusza";"Warszawa";"mazowieckie";"Warszawa"
"01-935";"ul. Dziewierza";"Warszawa";"mazowieckie";"Warszawa"
"01-935";"ul. Groteski";"Warszawa";"mazowieckie";"Warszawa"
"01-935";"ul. Linotypowa";"Warszawa";"mazowieckie";"Warszawa"
"01-936";"ul. RÍkopis";"Warszawa";"mazowieckie";"Warszawa"
"01-937";"ul. Akcent";"Warszawa";"mazowieckie";"Warszawa"
"01-937";"ul. Energetyczna";"Warszawa";"mazowieckie";"Warszawa"
"01-937";"ul. Loteryjki";"Warszawa";"mazowieckie";"Warszawa"
"01-937";"ul. Parnas";"Warszawa";"mazowieckie";"Warszawa"
"01-938";"ul. Herbowa";"Warszawa";"mazowieckie";"Warszawa"
"01-938";"ul. WÛycickiego Kazimierza";"Warszawa";"mazowieckie";"Warszawa"
"01-939";"ul. Burleska";"Warszawa";"mazowieckie";"Warszawa"
"01-939";"ul. Kalambur";"Warszawa";"mazowieckie";"Warszawa"
"01-940";"ul. Op≥otek";"Warszawa";"mazowieckie";"Warszawa"
"01-940";"ul. Palisadowa";"Warszawa";"mazowieckie";"Warszawa"
"01-941";"ul. TrenÛw";"Warszawa";"mazowieckie";"Warszawa"
"01-941";"ul. Widokowa";"Warszawa";"mazowieckie";"Warszawa"
"01-941";"ul. Wyjúciowa";"Warszawa";"mazowieckie";"Warszawa"
"01-942";"ul. Kabaretowa";"Warszawa";"mazowieckie";"Warszawa"
"01-942";"ul. Nokturnu";"Warszawa";"mazowieckie";"Warszawa"
"01-942";"ul. Tarnowskiego Stanis≥awa";"Warszawa";"mazowieckie";"Warszawa"
"01-943";"ul. Skwer 30 Pu≥ku StrzelcÛw Kaniowskich";"Warszawa";"mazowieckie";"Warszawa"
"01-943";"ul. Zgrupowania AK Kampinos";"Warszawa";"mazowieckie";"Warszawa"
"01-944";"ul. Balcerzaka JÛzefa";"Warszawa";"mazowieckie";"Warszawa"
"01-944";"ul. Gajcego Tadeusza";"Warszawa";"mazowieckie";"Warszawa"
"01-944";"ul. Parola Antoniego";"Warszawa";"mazowieckie";"Warszawa"
"01-945";"Poczta Warszawa 101, ul. Wrzeciono 48";"Warszawa";"mazowieckie";"Warszawa"
"01-946";"ul. Marymoncka od 121 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-947";"ul. Dorycka od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-948";"ul. Nocznickiego Tomasza od 2 do 8, od 1 do 25";"Warszawa";"mazowieckie";"Warszawa"
"01-949";"ul. Kasprowicza Jana od 68 do ostatniego, od 109 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-950";"ul. Wrzeciono od 45 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-951";"ul. Wrzeciono od 1 do 11";"Warszawa";"mazowieckie";"Warszawa"
"01-952";"ul. Lindego Samuela Bogumi≥a od 20 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-953";"ul. Lindego Samuela Bogumi≥a od 13 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-954";"ul. Lindego Samuela Bogumi≥a od 2 do 18";"Warszawa";"mazowieckie";"Warszawa"
"01-956";"ul. Wrzeciono od 42 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-957";"ul. SzegedyÒska";"Warszawa";"mazowieckie";"Warszawa"
"01-958";"ul. SzubiÒska";"Warszawa";"mazowieckie";"Warszawa"
"01-960";"ul. Przy Agorze od 2 do 16, od 1 do 19";"Warszawa";"mazowieckie";"Warszawa"
"01-961";"ul. Wrzeciono od 2 do 18, od 13 do 25";"Warszawa";"mazowieckie";"Warszawa"
"01-962";"ul. Antyczna";"Warszawa";"mazowieckie";"Warszawa"
"01-962";"ul. Frygijska";"Warszawa";"mazowieckie";"Warszawa"
"01-962";"ul. Przytyk";"Warszawa";"mazowieckie";"Warszawa"
"01-963";"ul. Wrzeciono od 20 do 40, od 27 do 43";"Warszawa";"mazowieckie";"Warszawa"
"01-964";"ul. Dorycka od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-966";"ul. Backiego Ewarysta Bronis≥awa";"Warszawa";"mazowieckie";"Warszawa"
"01-966";"ul. Ilustracji";"Warszawa";"mazowieckie";"Warszawa"
"01-966";"ul. Prozy";"Warszawa";"mazowieckie";"Warszawa"
"01-966";"ul. Rytmy";"Warszawa";"mazowieckie";"Warszawa"
"01-968";"ul. Muzealna";"Warszawa";"mazowieckie";"Warszawa"
"01-969";"ul. Pu≥kowa";"Warszawa";"mazowieckie";"Warszawa"
"01-970";"ul. Dziwoøony";"Warszawa";"mazowieckie";"Warszawa"
"01-971";"ul. Farysa";"Warszawa";"mazowieckie";"Warszawa"
"01-971";"ul. Odysei";"Warszawa";"mazowieckie";"Warszawa"
"01-971";"ul. Wygon";"Warszawa";"mazowieckie";"Warszawa"
"01-972";"ul. Abecad≥o";"Warszawa";"mazowieckie";"Warszawa"
"01-972";"ul. Hieroglif";"Warszawa";"mazowieckie";"Warszawa"
"01-972";"ul. Metafory";"Warszawa";"mazowieckie";"Warszawa"
"01-973";"ul. PapirusÛw";"Warszawa";"mazowieckie";"Warszawa"
"01-974";"ul. Tu≥owicka";"Warszawa";"mazowieckie";"Warszawa"
"01-975";"ul. Jamki";"Warszawa";"mazowieckie";"Warszawa"
"01-976";"ul. Pasterska";"Warszawa";"mazowieckie";"Warszawa"
"01-977";"ul. Marymoncka od 36 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"01-978";"ul. Øubrowa";"Warszawa";"mazowieckie";"Warszawa"
"01-979";"ul. Pantomimy";"Warszawa";"mazowieckie";"Warszawa"
"01-979";"ul. Poleg≥ych";"Warszawa";"mazowieckie";"Warszawa"
"01-980";"ul. Samog≥oska";"Warszawa";"mazowieckie";"Warszawa"
"01-981";"ul. Arrasowa";"Warszawa";"mazowieckie";"Warszawa"
"01-981";"ul. Balaton";"Warszawa";"mazowieckie";"Warszawa"
"01-982";"ul. Trylogii";"Warszawa";"mazowieckie";"Warszawa"
"01-983";"ul. Daglezji";"Warszawa";"mazowieckie";"Warszawa"
"01-985";"ul. Dzierøoniowska";"Warszawa";"mazowieckie";"Warszawa"
"01-986";"ul. KrÛlowej Jadwigi";"Warszawa";"mazowieckie";"Warszawa"
"01-986";"ul. WazÛw";"Warszawa";"mazowieckie";"Warszawa"
"01-987";"ul. Dankowicka";"Warszawa";"mazowieckie";"Warszawa"
"01-987";"ul. Dziekanowska";"Warszawa";"mazowieckie";"Warszawa"
"01-987";"ul. GnieünieÒska";"Warszawa";"mazowieckie";"Warszawa"
"01-988";"ul. HumanistÛw";"Warszawa";"mazowieckie";"Warszawa"
"01-988";"ul. Michaliny";"Warszawa";"mazowieckie";"Warszawa"
"01-989";"ul. Anny Jagiellonki";"Warszawa";"mazowieckie";"Warszawa"
"01-990";"ul. Encyklopedyczna";"Warszawa";"mazowieckie";"Warszawa"
"01-991";"ul. Biograficzna";"Warszawa";"mazowieckie";"Warszawa"
"01-991";"ul. HeroldÛw";"Warszawa";"mazowieckie";"Warszawa"
"01-991";"ul. Kolumbijska";"Warszawa";"mazowieckie";"Warszawa"
"01-991";"ul. Spartakusa";"Warszawa";"mazowieckie";"Warszawa"
"01-992";"ul. Improwizacji";"Warszawa";"mazowieckie";"Warszawa"
"01-993";"ul. Ostaszewska";"Warszawa";"mazowieckie";"Warszawa"
"01-993";"ul. Pasymska";"Warszawa";"mazowieckie";"Warszawa"
"01-993";"ul. Radecka";"Warszawa";"mazowieckie";"Warszawa"
"01-994";"ul. Gonzagi Marii Ludwiki";"Warszawa";"mazowieckie";"Warszawa"
"01-995";"ul. Lindego Samuela Bogumi≥a od 1 do 11";"Warszawa";"mazowieckie";"Warszawa"
"01-999";"Poczta Warszawa 144, ul. HeroldÛw 19";"Warszawa";"mazowieckie";"Warszawa"
"02-001";"ul. Aleje Jerozolimskie od 81 do 99";"Warszawa";"mazowieckie";"Warszawa"
"02-002";"ul. Nowogrodzka od 62A do 62A";"Warszawa";"mazowieckie";"Warszawa"
"02-002";"ul. Pasaø Braci £opieÒskich";"Warszawa";"mazowieckie";"Warszawa"
"02-004";"ul. Cha≥ubiÒskiego Tytusa od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-005";"ul. Lindleya Williama od 2 do 12, od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-006";"ul. Nowogrodzka od 59 do 73";"Warszawa";"mazowieckie";"Warszawa"
"02-007";"ul. Oczki Wojciecha";"Warszawa";"mazowieckie";"Warszawa"
"02-008";"ul. Koszykowa od 80 do ostatniego, od 79 do 79";"Warszawa";"mazowieckie";"Warszawa"
"02-009";"Al. Niepodleg≥oúci od 235 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-010";"ul. Nowowiejska od 26 do ostatniego, od 35 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-011";"ul. Aleje Jerozolimskie od 101 do 109";"Warszawa";"mazowieckie";"Warszawa"
"02-012";"ul. Koszykowa od 81 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-013";"ul. Lindleya Williama od 14 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-014";"ul. Nowogrodzka od 64 do 72";"Warszawa";"mazowieckie";"Warszawa"
"02-015";"Pl. Starynkiewicza Sokratesa";"Warszawa";"mazowieckie";"Warszawa"
"02-017";"ul. Aleje Jerozolimskie od 111 do 129";"Warszawa";"mazowieckie";"Warszawa"
"02-018";"ul. Nowogrodzka od 74 do ostatniego, od 75 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-019";"ul. GrÛjecka od 1 do 7";"Warszawa";"mazowieckie";"Warszawa"
"02-020";"ul. Daleka od 2 do 6, od 1 do 5";"Warszawa";"mazowieckie";"Warszawa"
"02-021";"ul. GrÛjecka od 9 do 25";"Warszawa";"mazowieckie";"Warszawa"
"02-022";"ul. Niemcewicza Juliana Ursyna od 2 do 2, od 1 do 9";"Warszawa";"mazowieckie";"Warszawa"
"02-023";"ul. TarczyÒska od 12 do ostatniego, od 11 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-024";"ul. Daleka od 8 do ostatniego, od 7 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-025";"Pl. Zawiszy Artura";"Warszawa";"mazowieckie";"Warszawa"
"02-025";"ul. TarczyÒska od 2 do 10, od 1 do 9";"Warszawa";"mazowieckie";"Warszawa"
"02-026";"ul. RaszyÒska od 2 do 46, od 1 do 17";"Warszawa";"mazowieckie";"Warszawa"
"02-027";"ul. Niemcewicza Juliana Ursyna od 4 do 12, od 11 do 13";"Warszawa";"mazowieckie";"Warszawa"
"02-028";"ul. Asnyka Adama";"Warszawa";"mazowieckie";"Warszawa"
"02-029";"Pl. Narutowicza Gabriela";"Warszawa";"mazowieckie";"Warszawa"
"02-030";"ul. GrÛjecka od 27 do 35";"Warszawa";"mazowieckie";"Warszawa"
"02-031";"ul. GrÛjecka od 37 do 47";"Warszawa";"mazowieckie";"Warszawa"
"02-032";"ul. Filtrowa od 10 do 52, od 75 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-033";"ul. RaszyÒska od 48 do ostatniego, od 19 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-034";"ul. Wawelska od 60 do ostatniego, od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-035";"Poczta Warszawa 065, ul. Filtrowa 62";"Warszawa";"mazowieckie";"Warszawa"
"02-036";"ul. Uniwersytecka";"Warszawa";"mazowieckie";"Warszawa"
"02-038";"ul. Akademicka";"Warszawa";"mazowieckie";"Warszawa"
"02-040";"ul. SupiÒskiego JÛzefa";"Warszawa";"mazowieckie";"Warszawa"
"02-041";"ul. Mochnackiego Maurycego od 17 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-042";"ul. Mochnackiego Maurycego od 2 do ostatniego, od 1 do 15";"Warszawa";"mazowieckie";"Warszawa"
"02-044";"ul. Mianowskiego JÛzefa";"Warszawa";"mazowieckie";"Warszawa"
"02-045";"ul. Rapackiego Wincentego";"Warszawa";"mazowieckie";"Warszawa"
"02-046";"ul. Zapolskiej Gabrieli";"Warszawa";"mazowieckie";"Warszawa"
"02-047";"ul. P≥uga Adama";"Warszawa";"mazowieckie";"Warszawa"
"02-048";"ul. Hoffmanowej Klementyny";"Warszawa";"mazowieckie";"Warszawa"
"02-049";"ul. Korzeniowskiego JÛzefa";"Warszawa";"mazowieckie";"Warszawa"
"02-050";"ul. Sk≥odowskiej-Curie Marii";"Warszawa";"mazowieckie";"Warszawa"
"02-051";"ul. Glogera Zygmunta";"Warszawa";"mazowieckie";"Warszawa"
"02-052";"ul. Krzyckiego Andrzeja";"Warszawa";"mazowieckie";"Warszawa"
"02-053";"ul. Reja Miko≥aja";"Warszawa";"mazowieckie";"Warszawa"
"02-054";"ul. Dantyszka Jana";"Warszawa";"mazowieckie";"Warszawa"
"02-055";"ul. Filtrowa od 65 do 73";"Warszawa";"mazowieckie";"Warszawa"
"02-056";"ul. Filtrowa od 57 do 63";"Warszawa";"mazowieckie";"Warszawa"
"02-057";"ul. Filtrowa od 54 do ostatniego, od 13 do 55";"Warszawa";"mazowieckie";"Warszawa"
"02-059";"ul. Wawelska od 2 do 8";"Warszawa";"mazowieckie";"Warszawa"
"02-061";"ul. Wawelska od 10 do 36";"Warszawa";"mazowieckie";"Warszawa"
"02-062";"ul. Kromera Marcina";"Warszawa";"mazowieckie";"Warszawa"
"02-062";"ul. Zimorowicza Szymona";"Warszawa";"mazowieckie";"Warszawa"
"02-063";"ul. GÛrnickiego £ukasza";"Warszawa";"mazowieckie";"Warszawa"
"02-063";"ul. Warszewickiego Krzysztofa";"Warszawa";"mazowieckie";"Warszawa"
"02-064";"Al. Wielkopolski";"Warszawa";"mazowieckie";"Warszawa"
"02-065";"ul. £Íczycka";"Warszawa";"mazowieckie";"Warszawa"
"02-066";"ul. B≥ogos≥awionego £adys≥awa z Gielniowa";"Warszawa";"mazowieckie";"Warszawa"
"02-067";"ul. Wawelska od 38 do 58";"Warszawa";"mazowieckie";"Warszawa"
"02-068";"ul. Orzechowska";"Warszawa";"mazowieckie";"Warszawa"
"02-069";"ul. Rudawska";"Warszawa";"mazowieckie";"Warszawa"
"02-070";"ul. Solariego Antoniego";"Warszawa";"mazowieckie";"Warszawa"
"02-071";"ul. Langiewicza Mariana";"Warszawa";"mazowieckie";"Warszawa"
"02-072";"ul. Prezydencka";"Warszawa";"mazowieckie";"Warszawa"
"02-073";"ul. Jesionowa";"Warszawa";"mazowieckie";"Warszawa"
"02-074";"ul. Prokuratorska";"Warszawa";"mazowieckie";"Warszawa"
"02-075";"ul. Aplikancka";"Warszawa";"mazowieckie";"Warszawa"
"02-078";"ul. Krzywickiego Ludwika";"Warszawa";"mazowieckie";"Warszawa"
"02-079";"ul. Trybunalska";"Warszawa";"mazowieckie";"Warszawa"
"02-080";"ul. Referendarska";"Warszawa";"mazowieckie";"Warszawa"
"02-081";"ul. SÍdziowska";"Warszawa";"mazowieckie";"Warszawa"
"02-082";"ul. Czubatki";"Warszawa";"mazowieckie";"Warszawa"
"02-083";"ul. FiÒska";"Warszawa";"mazowieckie";"Warszawa"
"02-084";"ul. Leszowa";"Warszawa";"mazowieckie";"Warszawa"
"02-085";"ul. Ondraszka";"Warszawa";"mazowieckie";"Warszawa"
"02-086";"Al. Niepodleg≥oúci od 179 do 215";"Warszawa";"mazowieckie";"Warszawa"
"02-087";"Al. Niepodleg≥oúci od 217 do 233";"Warszawa";"mazowieckie";"Warszawa"
"02-089";"ul. Øwirki i Wigury od 93 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-090";"ul. Øwirki i Wigury od 34 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"02-091";"ul. Øwirki i Wigury od 29 do 91";"Warszawa";"mazowieckie";"Warszawa"
"02-092";"ul. Øwirki i Wigury od 12 do 32";"Warszawa";"mazowieckie";"Warszawa"
"02-093";"ul. Ko≥osa W≥odzimierza";"Warszawa";"mazowieckie";"Warszawa"
"02-093";"ul. Pasteura Ludwika";"Warszawa";"mazowieckie";"Warszawa"
"02-093";"ul. Profesora Pogorzelskiego Witolda";"Warszawa";"mazowieckie";"Warszawa"
"02-094";"ul. GrÛjecka od 49 do 87";"Warszawa";"mazowieckie";"Warszawa"
"02-095";"ul. Winnicka";"Warszawa";"mazowieckie";"Warszawa"
"02-096";"ul. Miecznikowa";"Warszawa";"mazowieckie";"Warszawa"
"02-097";"ul. Banacha Stefana";"Warszawa";"mazowieckie";"Warszawa"
"02-098";"ul. Wolnej Wszechnicy";"Warszawa";"mazowieckie";"Warszawa"
"02-100";"Poczta Warszawa 119, ul. DwudziestolatkÛw 3";"Warszawa";"mazowieckie";"Warszawa"
"02-101";"ul. GrÛjecka od 89 do 107";"Warszawa";"mazowieckie";"Warszawa"
