id	gender	wiek	educ	jobcat	salary	salbegin	jobtime	prevexp	minority
411	Kobieta	69	12	Urzędnik	16200	10200	68	180	Nie
412	Kobieta	30	12	Urzędnik	22800	11250	68	2	Nie
413	Kobieta	34	16	Menedżer	43500	19500	68	11	Nie
414	Mężczyzna	39	8	Ochroniarz	30300	15750	68	155	Tak
415	Mężczyzna	37	15	Urzędnik	31950	15750	68	70	Tak
416	Mężczyzna	35	15	Urzędnik	35250	13500	67	6	Nie
417	Mężczyzna	33	15	Urzędnik	37800	15000	67	36	Nie
418	Mężczyzna	35	15	Urzędnik	31200	15750	67	46	Nie
419	Mężczyzna	36	15	Urzędnik	29400	16500	67	68	Nie
420	Mężczyzna	43	19	Menedżer	70000	35040	67	75	Nie
421	Mężczyzna	39	15	Urzędnik	33900	15750	67	96	Nie
422	Mężczyzna	37	15	Urzędnik	27150	16500	67	78	Nie
423	Kobieta	64	12	Urzędnik	22200	13800	67	196	Nie
424	Kobieta	34	15	Urzędnik	31350	11100	67	47	Nie
425	Kobieta	58	12	Urzędnik	20850	13500	67	181	Nie
426	Mężczyzna	48	16	Urzędnik	33300	17490	67	120	Tak
427	Mężczyzna	58	8	Urzędnik	26250	16050	67	97	Tak
428	Mężczyzna	36	15	Urzędnik	31950	15750	67	58	Tak
429	Mężczyzna	54	8	Ochroniarz	30000	15750	67	305	Tak
430	Mężczyzna	44	19	Menedżer	66250	34980	67	99	Tak
431	Mężczyzna	41	18	Menedżer	86250	45000	66	50	Nie
432	Mężczyzna	36	12	Urzędnik	30750	15000	66	56	Nie
433	Mężczyzna	34	12	Urzędnik	33540	15750	66	47	Nie
434	Mężczyzna	-1	16	Urzędnik	34950	20250	66	55	Nie
435	Mężczyzna	36	15	Urzędnik	40350	16500	66	80	Nie
436	Mężczyzna	35	12	Urzędnik	30270	15750	66	80	Nie
437	Mężczyzna	67	8	Urzędnik	26250	16050	66	264	Nie
438	Mężczyzna	36	15	Urzędnik	32400	15000	66	64	Nie
439	Kobieta	30	12	Urzędnik	20400	11250	66	0	Nie
440	Kobieta	53	8	Urzędnik	24150	12750	66	96	Nie
441	Kobieta	51	15	Urzędnik	23850	13500	66	122	Nie
442	Kobieta	32	12	Urzędnik	29700	13500	66	26	Nie
443	Kobieta	71	8	Urzędnik	21600	13500	66	228	Nie
444	Kobieta	39	12	Urzędnik	24450	15750	66	87	Nie
445	Mężczyzna	37	15	Urzędnik	28050	16500	66	84	Tak
446	Mężczyzna	42	16	Menedżer	100000	44100	66	128	Tak
447	Mężczyzna	39	15	Urzędnik	49000	20550	66	86	Tak
448	Kobieta	67	12	Urzędnik	16350	10200	66	163	Tak
449	Mężczyzna	34	16	Menedżer	70000	21750	65	19	Nie
450	Mężczyzna	46	19	Menedżer	55000	34980	65	129	Nie
451	Mężczyzna	31	15	Urzędnik	28500	14250	65	20	Nie
452	Mężczyzna	47	12	Urzędnik	28800	18000	65	210	Nie
453	Mężczyzna	70	15	Urzędnik	24450	15750	65	338	Nie
454	Mężczyzna	35	19	Menedżer	90625	31250	65	18	Nie
455	Mężczyzna	36	16	Menedżer	43650	19500	65	19	Nie
456	Mężczyzna	41	19	Menedżer	75000	42510	65	54	Nie
457	Mężczyzna	32	15	Urzędnik	31650	14250	65	10	Nie
458	Mężczyzna	35	19	Menedżer	61875	28740	65	26	Nie
459	Kobieta	29	12	Urzędnik	21750	11250	65	0	Nie
460	Kobieta	31	12	Urzędnik	22500	12750	65	24	Nie
461	Kobieta	57	8	Urzędnik	21600	13500	65	173	Nie
462	Kobieta	37	16	Menedżer	34410	19500	65	79	Nie
463	Kobieta	66	15	Urzędnik	20700	14250	65	241	Nie
464	Mężczyzna	38	19	Menedżer	47550	33000	64	27	Nie
465	Mężczyzna	38	12	Urzędnik	33900	16500	64	106	Nie
466	Kobieta	52	12	Urzędnik	23400	13500	64	198	Nie
467	Kobieta	33	16	Urzędnik	32850	19500	64	20	Nie
468	Kobieta	35	16	Menedżer	55750	19980	64	36	Nie
469	Kobieta	36	15	Urzędnik	25200	13950	64	57	Nie
470	Mężczyzna	36	12	Urzędnik	26250	15750	64	69	Tak
471	Mężczyzna	34	15	Urzędnik	26400	15750	64	32	Tak
472	Mężczyzna	34	15	Urzędnik	39150	15750	63	46	Nie
473	Kobieta	63	12	Urzędnik	21450	12750	63	139	Nie
474	Kobieta	32	12	Urzędnik	29400	14250	63	9	Nie
